,accuracy
0,2.5954479496821503
1,2.622478182022788
2,2.592615086089553
3,2.6015954001239403
4,2.65695226025289
5,0.9537509363752296
6,0.9056938043103407
7,0.8943724178914051
8,0.9469795030895326
